Dec_Output X,Dec_Output Y
0.001501,19
0.001502,45
0.001503,16
0.001504,48
0.001505,13
0.001506,51
0.001507,10
0.001508,54
0.001509,8
0.00151,56
0.001511,6
0.001512,58
0.001513,4
0.001514,60
0.001515,2
0.001516,61
0.001517,1
0.001518,62
0.001519,0
0.00152,63
0.001521,0
0.001522,63
0.001523,0
0.001524,63
0.001525,0
0.001526,63
0.001527,1
0.001528,62
0.001529,2
0.00153,61
0.001531,3
0.001532,59
0.001533,5
0.001534,57
0.001535,7
0.001536,55
0.001537,9
0.001538,52
0.001539,12
0.00154,50
0.001541,15
0.001542,47
0.001543,18
0.001544,43
0.001545,21
0.001546,40
0.001547,25
0.001548,36
0.001549,28
0.00155,33
0.001551,32
0.001552,29
0.001553,36
0.001554,26
0.001555,39
0.001556,22
0.001557,42
0.001558,19
0.001559,46
0.00156,16
0.001561,49
0.001562,13
0.001563,51
0.001564,10
0.001565,54
0.001566,8
0.001567,56
0.001568,6
0.001569,58
0.00157,4
0.001571,60
0.001572,2
0.001573,61
0.001574,1
0.001575,62
0.001576,0
0.001577,63
0.001578,0
0.001579,63
0.00158,0
0.001581,63
0.001582,0
0.001583,63
0.001584,1
0.001585,62
0.001586,2
0.001587,61
0.001588,3
0.001589,59
0.00159,5
0.001591,57
0.001592,7
0.001593,55
0.001594,9
0.001595,52
0.001596,12
0.001597,49
0.001598,15
0.001599,46
0.0016,18
0.001601,43
0.001602,22
0.001603,40
0.001604,25
0.001605,36
0.001606,29
0.001607,33
0.001608,32
0.001609,29
0.00161,36
0.001611,26
0.001612,39
0.001613,22
0.001614,43
0.001615,19
0.001616,46
0.001617,16
0.001618,49
0.001619,13
0.00162,52
0.001621,10
0.001622,54
0.001623,8
0.001624,57
0.001625,5
0.001626,59
0.001627,4
0.001628,60
0.001629,2
0.00163,62
0.001631,1
0.001632,62
0.001633,0
0.001634,63
0.001635,0
0.001636,63
0.001637,0
0.001638,63
0.001639,0
0.00164,63
0.001641,1
0.001642,62
0.001643,2
0.001644,61
0.001645,3
0.001646,59
0.001647,5
0.001648,57
0.001649,7
0.00165,55
0.001651,10
0.001652,52
0.001653,12
0.001654,49
0.001655,15
0.001656,46
0.001657,18
0.001658,43
0.001659,22
0.00166,39
0.001661,25
0.001662,36
0.001663,29
0.001664,32
0.001665,32
0.001666,29
0.001667,36
0.001668,25
0.001669,39
0.00167,22
0.001671,43
0.001672,19
0.001673,46
0.001674,16
0.001675,49
0.001676,13
0.001677,52
0.001678,10
0.001679,54
0.00168,7
0.001681,57
0.001682,5
0.001683,59
0.001684,3
0.001685,60
0.001686,2
0.001687,62
0.001688,1
0.001689,63
0.00169,0
0.001691,63
0.001692,0
0.001693,63
0.001694,0
0.001695,63
0.001696,0
0.001697,63
0.001698,1
0.001699,62
0.0017,2
0.001701,60
0.001702,3
0.001703,59
0.001704,5
0.001705,57
0.001706,7
0.001707,55
0.001708,10
0.001709,52
0.00171,12
0.001711,49
0.001712,15
0.001713,46
0.001714,19
0.001715,43
0.001716,22
0.001717,39
0.001718,25
0.001719,36
0.00172,29
0.001721,32
0.001722,33
0.001723,29
0.001724,36
0.001725,25
0.001726,40
0.001727,22
0.001728,43
0.001729,19
0.00173,46
0.001731,15
0.001732,49
0.001733,12
0.001734,52
0.001735,10
0.001736,55
0.001737,7
0.001738,57
0.001739,5
0.00174,59
0.001741,3
0.001742,60
0.001743,2
0.001744,62
0.001745,1
0.001746,63
0.001747,0
0.001748,63
0.001749,0
0.00175,63
0.001751,0
0.001752,63
0.001753,0
0.001754,63
0.001755,1
0.001756,62
0.001757,2
0.001758,60
0.001759,3
0.00176,59
0.001761,5
0.001762,57
0.001763,7
0.001764,54
0.001765,10
0.001766,52
0.001767,13
0.001768,49
0.001769,16
0.00177,46
0.001771,19
0.001772,43
0.001773,22
0.001774,39
0.001775,26
0.001776,36
0.001777,29
0.001778,32
0.001779,33
0.00178,28
0.001781,36
0.001782,25
0.001783,40
0.001784,22
0.001785,43
0.001786,18
0.001787,46
0.001788,15
0.001789,49
0.00179,12
0.001791,52
0.001792,10
0.001793,55
0.001794,7
0.001795,57
0.001796,5
0.001797,59
0.001798,3
0.001799,60
0.0018,2
0.001801,62
0.001802,1
0.001803,63
0.001804,0
0.001805,63
0.001806,0
0.001807,63
0.001808,0
0.001809,63
0.00181,0
0.001811,63
0.001812,1
0.001813,62
0.001814,2
0.001815,60
0.001816,4
0.001817,59
0.001818,5
0.001819,57
0.00182,8
0.001821,54
0.001822,10
0.001823,52
0.001824,13
0.001825,49
0.001826,16
0.001827,46
0.001828,19
0.001829,42
0.00183,22
0.001831,39
0.001832,26
0.001833,35
0.001834,29
0.001835,32
0.001836,33
0.001837,28
0.001838,36
0.001839,25
0.00184,40
0.001841,21
0.001842,43
0.001843,18
0.001844,46
0.001845,15
0.001846,49
0.001847,12
0.001848,52
0.001849,9
0.00185,55
0.001851,7
0.001852,57
0.001853,5
0.001854,59
0.001855,3
0.001856,61
0.001857,2
0.001858,62
0.001859,1
0.00186,63
0.001861,0
0.001862,63
0.001863,0
0.001864,63
0.001865,0
0.001866,63
0.001867,0
0.001868,62
0.001869,1
0.00187,62
0.001871,2
0.001872,60
0.001873,4
0.001874,59
0.001875,5
0.001876,56
0.001877,8
0.001878,54
0.001879,10
0.00188,51
0.001881,13
0.001882,49
0.001883,16
0.001884,45
0.001885,19
0.001886,42
0.001887,23
0.001888,39
0.001889,26
0.00189,35
0.001891,30
0.001892,32
0.001893,33
0.001894,28
0.001895,37
0.001896,25
0.001897,40
0.001898,21
0.001899,43
0.0019,18
0.001901,47
0.001902,15
0.001903,50
0.001904,12
0.001905,52
0.001906,9
0.001907,55
0.001908,7
0.001909,57
0.00191,5
0.001911,59
0.001912,3
0.001913,61
0.001914,2
0.001915,62
0.001916,1
0.001917,63
0.001918,0
0.001919,63
0.00192,0
0.001921,63
0.001922,0
0.001923,63
0.001924,0
0.001925,62
0.001926,1
0.001927,61
0.001928,2
0.001929,60
0.00193,4
0.001931,58
0.001932,6
0.001933,56
0.001934,8
0.001935,54
0.001936,10
0.001937,51
0.001938,13
0.001939,48
0.00194,16
0.001941,45
0.001942,19
0.001943,42
0.001944,23
0.001945,38
0.001946,26
0.001947,35
0.001948,30
0.001949,31
0.00195,33
0.001951,28
0.001952,37
0.001953,24
0.001954,40
0.001955,21
0.001956,44
