Dec_Output X,Dec_Output Y
0.001882,25
0.001883,23
0.001884,21
0.001885,20
0.001886,18
0.001887,16
0.001888,15
0.001889,13
0.00189,12
0.001891,10
0.001892,9
0.001893,8
0.001894,7
0.001895,6
0.001896,5
0.001897,4
0.001898,3
0.001899,2
0.0019,1
0.001901,1
0.001902,0
0.001903,0
0.001904,0
0.001905,0
0.001906,0
0.001907,0
0.001908,0
0.001909,0
0.00191,0
0.001911,0
0.001912,1
0.001913,1
0.001914,2
0.001915,3
0.001916,4
0.001917,5
0.001918,6
0.001919,7
0.00192,8
0.001921,9
0.001922,10
0.001923,12
0.001924,13
0.001925,15
0.001926,16
0.001927,18
0.001928,19
0.001929,21
0.00193,23
0.001931,24
0.001932,26
0.001933,28
0.001934,30
0.001935,32
0.001936,33
0.001937,35
0.001938,37
0.001939,39
0.00194,40
0.001941,42
0.001942,44
0.001943,45
0.001944,47
0.001945,48
0.001946,50
0.001947,51
0.001948,53
0.001949,54
0.00195,55
0.001951,56
0.001952,57
0.001953,58
0.001954,59
0.001955,60
0.001956,61
